"IndividualId","Time [min]","Organism|PeripheralVenousBlood|DrugX|Plasma (Peripheral Venous Blood) [µmol/l]"
4,345,0.0021935983
4,360,0.0019870892
4,375,0.0018031365
4,390,0.0016390767
4,405,0.0014926017
4,420,0.0013617056
4,435,0.0012446346
4,450,0.0011398521
4,465,0.0010459854
4,480,0.0009618497
4,495,0.00088633725
4,510,0.00081851194
4,525,0.0007575396
4,540,0.00070269464
4,555,0.0006533195
4,570,0.0006088231
4,585,0.00056869094
4,600,0.00053243333
4,615,0.00049963675
4,630,0.00046992794
4,645,0.00044298972
4,660,0.00041853232
4,675,0.00039629723
4,690,0.00037604696
4,705,0.00035757065
4,720,0.00034068225
4,735,0.00032521688
4,750,0.00031102984
4,765,0.00029799016
4,780,0.0002859809
4,795,0.00027489747
4,810,0.0002646466
4,825,0.0002551433
4,840,0.00024631532
4,855,0.0002380919
4,870,0.00023041756
4,885,0.00022323572
4,900,0.00021650182
4,915,0.00021017285
4,930,0.00020421184
4,945,0.00019858537
4,960,0.00019326352
4,975,0.00018821895
4,990,0.00018342755
4,1005,0.00017886727
4,1020,0.00017451833
4,1035,0.00017036354
4,1050,0.00016638693
4,1065,0.00016257467
4,1080,0.00015891413
4,1095,0.00015539405
4,1110,0.00015200423
4,1125,0.0001487354
4,1140,0.00014557902
4,1155,0.0001425283
4,1170,0.00013957603
4,1185,0.00013671549
4,1200,0.00013394185
4,1215,0.00013125029
4,1230,0.00012863502
4,1245,0.00012609147
4,1260,0.00012361778
4,1275,0.000121209036
4,1290,0.00011886151
4,1305,0.000116573276
4,1320,0.00011434121
4,1335,0.00011216255
4,1350,0.00011003525
4,1365,0.00010795781
4,1380,0.00010592825
4,1395,0.000103944985
4,1410,0.00010200559
4,1425,0.00010010864
4,1440,9.8252334E-05
5,0,0
5,3,0.121707134
5,6,0.14733611
5,9,0.07519351
5,12,0.048602004
5,15,0.03793947
5,18,0.03314191
5,21,0.030591087
5,24,0.02895093
5,27,0.027711222
5,30,0.026670082
5,33,0.025743894
5,36,0.024895968
5,39,0.024109198
5,42,0.02337388
5,45,0.022684107
5,48,0.022035947
5,51,0.021425936
5,54,0.02085111
5,57,0.020308899
5,60,0.019796943
5,63,0.019313073
5,66,0.01885528
5,69,0.0184217
5,72,0.018010614
5,75,0.017620433
5,78,0.017249687
5,81,0.016897013
5,84,0.01656115
5,87,0.016240925
5,90,0.015935251
5,93,0.015643127
5,96,0.015363631
5,99,0.015095895
5,102,0.014839135
5,105,0.01459261
5,108,0.014355637
5,111,0.014127585
5,114,0.013907865
5,117,0.013695936
5,120,0.013491294
5,135,0.012562356
5,150,0.011758968
5,165,0.011049116
5,180,0.010410855
5,195,0.009829069
5,210,0.009293189
5,225,0.008795735
5,240,0.008331322
5,255,0.007895946
5,270,0.0074865506
5,285,0.0071007675
5,300,0.00673671
5,315,0.006392821
5,330,0.006067731
5,345,0.005760287
5,360,0.0054693404
5,375,0.005193932
5,390,0.004933187
5,405,0.0046862722
5,420,0.0044524604
5,435,0.0042310534
5,450,0.0040213796
5,465,0.0038228035
5,480,0.0036347082
5,495,0.0034565255
5,510,0.0032877184
5,525,0.0031277868
5,540,0.002976256
5,555,0.0028326786
5,570,0.0026966238
5,585,0.0025676857
5,600,0.0024454768
5,615,0.0023296352
5,630,0.0022198155
5,645,0.0021156967
5,660,0.0020169746
5,675,0.0019233503
5,690,0.0018345608
5,705,0.0017503451
5,720,0.001670451
5,735,0.001594658
5,750,0.0015227383
5,765,0.0014544855
5,780,0.0013897095
5,795,0.0013282147
5,810,0.0012698317
5,825,0.0012143957
5,840,0.0011617435
5,855,0.0011117323
5,870,0.00106422
5,885,0.0010190714
5,900,0.0009761659
5,915,0.00093538
5,930,0.0008966031
5,945,0.00085973187
5,960,0.0008246604
5,975,0.0007912976
5,990,0.000759554
5,1005,0.0007293413
5,1020,0.0007005824
5,1035,0.00067320006
5,1050,0.0006471214
5,1065,0.00062228093
5,1080,0.0005986114
5,1095,0.0005760534
5,1110,0.00055455044
5,1125,0.0005340454
5,1140,0.00051448867
5,1155,0.00049583154
5,1170,0.00047802628
5,1185,0.00046103093
5,1200,0.00044480327
5,1215,0.00042930388
5,1230,0.00041449704
5,1245,0.000400346
5,1260,0.00038681854
5,1275,0.00037388378
5,1290,0.00036151052
5,1305,0.00034967173
5,1320,0.0003383407
5,1335,0.0003274914
5,1350,0.0003171009
5,1365,0.00030714594
5,1380,0.00029760506
5,1395,0.0002884586
5,1410,0.0002796863
5,1425,0.0002712706
5,1440,0.0002631944
